age,age_cat,charge,race,sex,priors_count,score,outcome
69,Greater than 45,Felony,Other,Male,0,1,0
34,25 - 45,Felony,African-American,Male,0,1,1
44,25 - 45,Misdemeanor,Other,Male,0,1,0
43,25 - 45,Felony,Other,Male,3,3,0
39,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
27,25 - 45,Felony,Caucasian,Male,0,4,0
37,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
41,25 - 45,Felony,African-American,Male,0,2,0
37,25 - 45,Misdemeanor,Hispanic,Male,0,1,0
25,25 - 45,Felony,African-American,Male,3,9,0
31,25 - 45,Felony,Caucasian,Male,6,4,1
21,Less than 25,Felony,Caucasian,Female,0,5,0
43,25 - 45,Misdemeanor,Caucasian,Male,1,2,0
32,25 - 45,Misdemeanor,Other,Male,0,4,0
27,25 - 45,Felony,African-American,Male,8,3,1
33,25 - 45,Felony,African-American,Male,0,6,1
55,Greater than 45,Felony,Caucasian,Male,0,1,0
29,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
21,Less than 25,Felony,African-American,Female,2,8,0
51,Greater than 45,Misdemeanor,African-American,Male,2,1,0
51,Greater than 45,Felony,African-American,Female,7,2,0
25,25 - 45,Misdemeanor,Caucasian,Male,9,9,1
35,25 - 45,Felony,African-American,Male,13,3,1
49,Greater than 45,Misdemeanor,Caucasian,Male,0,1,0
29,25 - 45,Felony,African-American,Male,0,3,0
28,25 - 45,Felony,Other,Female,0,2,0
31,25 - 45,Felony,African-American,Male,15,7,0
30,25 - 45,Misdemeanor,Hispanic,Male,0,3,0
49,Greater than 45,Misdemeanor,African-American,Male,4,1,0
53,Greater than 45,Felony,Caucasian,Male,8,2,0
35,25 - 45,Felony,African-American,Male,5,2,0
62,Greater than 45,Misdemeanor,Hispanic,Male,0,1,0
33,25 - 45,Misdemeanor,Other,Male,0,1,0
56,Greater than 45,Misdemeanor,African-American,Female,0,1,0
45,Greater than 45,Felony,Hispanic,Male,6,1,1
22,Less than 25,Felony,Hispanic,Male,1,6,0
39,25 - 45,Misdemeanor,African-American,Male,1,2,0
40,25 - 45,Felony,African-American,Male,2,1,0
22,Less than 25,Felony,Caucasian,Male,0,6,0
26,25 - 45,Felony,African-American,Female,1,3,1
32,25 - 45,Felony,African-American,Male,0,1,0
41,25 - 45,Misdemeanor,African-American,Male,1,2,0
30,25 - 45,Misdemeanor,African-American,Male,8,9,1
25,25 - 45,Felony,African-American,Male,14,10,1
20,Less than 25,Felony,Other,Male,0,8,1
35,25 - 45,Misdemeanor,African-American,Female,1,1,0
25,25 - 45,Felony,Caucasian,Male,9,9,1
20,Less than 25,Felony,Caucasian,Female,0,8,0
54,Greater than 45,Misdemeanor,Caucasian,Female,0,1,0
44,25 - 45,Misdemeanor,Hispanic,Female,0,1,0
19,Less than 25,Misdemeanor,African-American,Male,1,7,1
30,25 - 45,Felony,African-American,Male,1,2,0
39,25 - 45,Felony,Caucasian,Female,0,1,1
30,25 - 45,Felony,Caucasian,Male,0,2,0
31,25 - 45,Misdemeanor,Caucasian,Male,0,2,0
39,25 - 45,Felony,Caucasian,Female,1,3,0
43,25 - 45,Felony,Caucasian,Male,1,1,0
34,25 - 45,Felony,Caucasian,Male,0,5,0
37,25 - 45,Felony,African-American,Male,3,1,0
31,25 - 45,Misdemeanor,African-American,Male,1,8,0
30,25 - 45,Felony,Other,Female,1,2,0
31,25 - 45,Felony,Caucasian,Male,13,7,1
52,Greater than 45,Misdemeanor,Caucasian,Male,3,6,0
42,25 - 45,Felony,Caucasian,Male,6,1,0
25,25 - 45,Felony,Caucasian,Female,2,5,0
30,25 - 45,Misdemeanor,Caucasian,Male,1,2,0
37,25 - 45,Misdemeanor,Other,Female,2,1,0
24,Less than 25,Misdemeanor,African-American,Female,0,3,0
31,25 - 45,Misdemeanor,African-American,Male,1,3,0
20,Less than 25,Felony,African-American,Female,1,10,0
43,25 - 45,Misdemeanor,Caucasian,Female,0,1,0
32,25 - 45,Felony,African-American,Male,11,5,1
33,25 - 45,Misdemeanor,African-American,Male,8,2,1
20,Less than 25,Felony,African-American,Female,0,8,0
26,25 - 45,Misdemeanor,Caucasian,Female,0,3,0
63,Greater than 45,Felony,Hispanic,Male,1,1,0
32,25 - 45,Felony,African-American,Female,4,9,1
29,25 - 45,Felony,Hispanic,Male,1,4,0
39,25 - 45,Misdemeanor,Caucasian,Male,1,4,0
30,25 - 45,Felony,African-American,Male,1,8,0
48,Greater than 45,Misdemeanor,Caucasian,Male,2,1,0
22,Less than 25,Felony,African-American,Male,1,4,0
31,25 - 45,Felony,Caucasian,Male,0,4,0
23,Less than 25,Felony,Hispanic,Male,0,5,0
32,25 - 45,Felony,African-American,Female,5,3,0
52,Greater than 45,Misdemeanor,Hispanic,Male,2,1,0
62,Greater than 45,Felony,African-American,Male,8,1,0
28,25 - 45,Misdemeanor,African-American,Male,6,6,1
54,Greater than 45,Felony,Hispanic,Male,2,1,0
58,Greater than 45,Felony,Hispanic,Male,0,1,0
