Y,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45
1993,47.7969,97.63784,15.33491,9.74162,-1.02527,-5.61949,5.56996,9.25609,7.14309,6.67328,0.4464,-0.67473,22.89019,1709.47588,1948.79864,2088.30005,694.55765,1466.0735,493.93691,422.76211,253.32654,228.83161,523.04141,438.58678,91.61307,1038.52632,-467.49153,105.2155,171.73786,196.24456,101.94607,87.05904,15.48751,20.92673,-12.12411,99.88246,-107.66265,393.76321,-272.16934,-154.57851,211.29495,104.97302,-10.09486,-46.98169,-27.51547
1998,43.00463,-38.53632,-7.45646,-6.26224,-21.8258,-14.23605,6.91194,-15.43737,9.77078,-1.39074,-0.9693,-1.02313,57.061,4969.31686,3721.09418,1761.64797,1970.13764,841.75128,1055.3283,960.27544,666.13028,504.63604,289.95015,438.83998,262.15041,1217.34865,256.37512,-413.77907,-295.48945,-224.59411,-35.9585,141.69038,40.4404,-36.02872,2.61122,264.74798,-251.35526,-1265.12319,-113.93303,114.13173,58.43093,-143.23173,-22.37438,34.2792,90.56952
1993,28.84954,-84.26304,28.40609,-20.56026,13.70857,-7.98456,-31.48773,0.65119,-5.32244,-0.41655,0.99308,17.85786,27.53541,2951.83844,1728.04444,1672.26838,881.20722,600.1389,1163.39806,428.93628,1219.24168,317.33964,226.69768,515.25142,-56.22247,221.57644,488.91271,-207.24082,-176.90357,55.98364,153.5596,-155.11908,202.69044,-40.17339,31.76667,96.25581,242.47846,-141.99093,-234.39972,86.20353,-19.92083,-284.08866,-94.41527,-35.48878,-71.39471
2008,45.60281,20.89755,-7.87737,13.74651,13.61147,2.32843,3.87309,2.26443,-14.62188,-1.57719,-0.34667,13.39042,15.43859,3566.49807,1579.97475,2310.00945,553.34148,1778.71355,431.77043,881.8604,607.07263,529.03173,540.81049,263.26642,95.19233,134.76065,-650.01881,209.78731,121.60886,276.69791,-112.99822,84.53155,-43.80225,112.03849,-93.26805,22.07851,-418.24871,392.16479,-412.84182,-111.0652,-26.56847,28.09084,-66.97619,87.27549,-32.65561
2005,52.11603,32.20206,38.82786,-0.71979,-19.87952,-17.45743,3.2821,2.22886,2.60659,6.31693,-0.67533,-5.32572,16.46524,1252.33963,578.9286,708.55858,725.30316,780.55517,282.75143,397.32003,305.617,253.15849,193.33948,200.13059,73.45046,9.96329,-191.26946,-47.01188,-33.01941,125.27883,-19.50604,13.09961,23.69557,-29.66009,11.25413,33.9343,-142.15025,35.5116,-335.93396,70.56543,71.48801,21.7169,-45.16439,-1.54322,15.16399
1973,42.16748,9.66456,14.64371,-7.10873,-12.6344,-1.96852,-5.61099,-3.75954,4.56997,-0.68579,-2.14027,4.13131,44.84748,2418.57712,1217.58981,1211.28478,615.77845,845.35254,488.03404,386.11034,330.40332,354.46015,328.22893,231.7798,91.08489,-585.96313,-181.24713,-4.1235,-25.70288,-44.1744,-51.91383,10.20338,37.0912,53.87859,1.5918,48.9249,-400.06981,-160.47948,-161.67249,132.1759,-36.85007,52.44834,-108.80717,19.2692,16.37097
2000,35.33611,28.22933,11.09209,6.59398,-1.30999,-29.32259,9.29712,12.21279,-19.83421,7.36184,7.17204,21.50731,68.34193,3014.76518,1091.31934,1975.00888,1657.31698,664.27229,331.20448,334.77234,256.18808,356.54848,419.23706,323.94788,31.0606,249.33789,74.84182,136.22114,-235.69421,57.10579,-66.33111,58.3643,130.83696,98.02349,57.7895,-38.45959,239.18668,-282.43031,-115.52219,20.7505,-54.50861,-44.01456,54.82274,9.3184,97.52653
1990,41.22319,14.90724,-31.25052,25.28336,-1.62944,10.71645,-6.06308,-10.78147,25.72742,-1.42614,-1.57318,1.69048,26.54005,2802.04696,4973.1863300000005,4063.76382,1352.92529,1954.69925,1265.62142,1072.60175,560.2516,536.06284,706.08767,453.02255,13.49587,644.66888,-1140.37222,113.74837,16.51296,-140.7929,113.85309,-63.65498,-158.96779,-5.85749,15.02746,25.45367,628.39056,411.58808,80.66865,10.2412,79.21703,150.73269,-128.83777,-11.21272,43.58793
2004,50.86653,-1.28821,24.71895,3.94237,-13.55908,-12.93155,-5.94973,-7.09474,-9.80099,-6.65365,3.282,-2.26135,12.14806,821.38604,882.64939,987.60812,562.19439,594.73479,440.64487,312.94303,383.92541,240.28068,176.12077,183.65444,-6.47121,-115.35569,167.87717,23.91629,126.18979,-3.72576,-43.16354,44.78929,55.806,-27.06312,21.07916,24.42957,-113.85998,-39.12125,-14.07792,49.66328,32.53569,54.8946,-68.38613,-10.34401,-12.20334
2002,33.80228,-35.59586,15.4804,-7.27651,9.18393,-2.63719,4.40282,5.36459,3.96851,1.51009,-5.84744,9.3379,43.24128,5712.22305,3986.40149,2420.39901,928.42922,1105.70986,648.36048,1063.68954,665.54675,558.26725,330.98996,155.3743,37.14991,2416.04703,117.62044,264.48309,119.13612,-38.41104,-169.09089,75.10565,12.53522,64.88901,-9.17116,77.9083,266.71882,846.32862,-294.6223,128.24995,-54.88408,95.64342,28.48829,3.64591,-15.15012
